Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-03-08,PE_SMB_IMS_SISE,13.63,77274,112,76271,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_sise-sedes_20-mar-2025_intereses_spark-ads,Impression,2025-03-29,PE_SMB_IMS_SISE,13.61,63392,97,62473,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-10,PE_SMB_IMS_SISE,13.57,26389,65,24772,3,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_gestion,intereses_gestion_cpl,vid_chico-de-las-noticias-admi_10-ene-2025_intereses_spark-ads,Conversion,2025-01-24,PE_SMB_IMS_SISE,13.55,27612,63,26709,4,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_gestion
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-2,intereses_prioridad-2_cpl,vid_diseno-modas-marzo_intereses_video,Conversion,2025-02-15,PE_SMB_IMS_SISE,13.54,37733,60,35417,4,USD,CARRERA,DISEÑO Y GESTION DE MODAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-2
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-01-11,PE_SMB_IMS_SISE Idiomas2,13.54,24880,49,21349,13,USD,INGLÉS,INGLES,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_ingles
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_audiovisuales,intereses_audivisuales_cpl,vid_comunicacion_13-ene-2025_intereses_video,Conversion,2025-01-27,PE_SMB_IMS_SISE,13.53,11018,24,10570,1,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_audiovisuales
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_audiovisuales,rmkt_audivisuales_cpl,vid_comunicacion-audiovisual-22.05_rmkt_video,Conversion,2025-02-09,PE_SMB_IMS_SISE,13.51,33097,51,30426,3,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_audiovisuales
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_malla-curricular_14-ene-2025_intereses_ppl,Impression,2025-02-14,PE_SMB_IMS_SISE,13.46,71586,0,70456,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_enfermeria,rmkt_enfermeria_cpl,vid_enfermeria-m4_12-nov-2024_rmkt_video,Conversion,2025-01-17,PE_SMB_IMS_SISE,13.4,24581,44,20460,3,USD,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_enfermeria
