Reporte_CPL_Google - PBI TOTAL
"April 1, 2025 - April 15, 2025"
Account name,Customer ID,Campaign,Landing page,Day,Clicks,Impr.,Currency code,Cost,Conversions
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=extension-sitio-certificacion-progresiva,2025-04-06,0,32,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=extension-sitio-top-1-bolsa-trabajo,2025-04-06,0,60,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/administracion-logistica/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_admin-logistica-generic-v1_cpl,2025-04-06,1,10,USD,0.95,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/administracion-logistica/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_admin-logistica-generic-v2_cpl,2025-04-06,2,92,USD,2.14,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/contabilidad/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_contabilidad-generic-v1_cpl,2025-04-06,0,16,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/contabilidad/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_contabilidad-generic-v2_cpl,2025-04-06,0,29,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/marketing/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_marketing-generic-v1_cpl,2025-04-06,0,4,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/marketing/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_marketing-generic-v2_cpl,2025-04-06,1,18,USD,1.24,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/marketing/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_marketing-generic-v3_cpl,2025-04-06,0,1,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/tecnica-en-farmacia/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=dinamico_farmacia-generic-v1_cpl,2025-04-06,8,73,USD,9.31,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-admin-de-empresas,2025-04-06,0,13,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-administracion-de-empresas-95-egresados-trabajan,2025-04-06,0,3,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-administracion-de-empresas-certificaciones,2025-04-06,0,6,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-administracion-de-empresas-mas-informacion,2025-04-06,0,10,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-administracion-de-empresas-matricula-gratuita,2025-04-06,0,12,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=anuncio-dinamico-admin-de-empresas-v1_cpl,2025-04-06,1,25,USD,2.37,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/administracion-de-empresas/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=anuncio-dinamico-admin-de-empresas-v2_cpl,2025-04-06,3,24,USD,6.55,2.50
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-diseno-grafico-mas-informacion,2025-04-06,0,42,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-diseno-grafico,2025-04-06,0,62,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-diseno-grafico-95-egresados-trabajan,2025-04-06,0,52,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-diseno-grafico-certificaciones,2025-04-06,0,19,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-diseno-grafico-matricula-gratuita,2025-04-06,0,54,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/diseno-grafico/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=anuncio-dinamico-diseno-grafico-v1_cpl,2025-04-06,9,154,USD,6.46,3.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-enfermeria,2025-04-06,0,38,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-enfermeria-95-egresados-trabajan,2025-04-06,0,13,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-enfermeria-certificaciones,2025-04-06,0,20,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-enfermeria-mas-informacion,2025-04-06,0,30,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=extension-sitio-enfermeria-matricula-gratuita,2025-04-06,0,28,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top,https://carrera.sise.edu.pe/enfermeria/{ignore}?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-top&utm_content=anuncio-dinamico-enfermeria-v1_cpl,2025-04-06,2,99,USD,1.01,0.00
