Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-04,PE_SMB_IMS_SISE,2.42,2479,3,2317,1,USD
sise_carreras_virtuales_aon_tiktok_social_conversion_conversiones_carreras_2025_abr_9,smart_todas-las-carreras_cpl,Video 11 100� virtual.mp4,Conversion,2025-04-11,PE_SMB_IMS_SISE,2.38,10938,9,9036,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-08,PE_SMB_IMS_SISE,2.37,2274,4,2190,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-14,PE_SMB_IMS_SISE,2.34,4456,9,4258,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-07,PE_SMB_IMS_SISE,2.33,4019,5,3817,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,2.33,2705,7,2605,2,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m2_carreras___abr_9,Conversion,2025-04-12,PE_SMB_IMS_SISE,2.32,5974,34,5451,20,USD
sise_carreras_virtuales_aon_tiktok_social_conversion_conversiones_carreras_2025_abr_9,smart_todas-las-carreras_cpl,ssstik.io_1744243122075_EJ6FLodG.mp4,Conversion,2025-04-11,PE_SMB_IMS_SISE,2.29,10696,10,9198,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,2.28,4087,4,3769,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m2_carreras___abr_9,Conversion,2025-04-10,PE_SMB_IMS_SISE,2.28,7611,53,7122,36,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_gastronomia-m2_carreras___abr_9,Conversion,2025-04-11,PE_SMB_IMS_SISE,2.25,6304,54,5913,38,USD
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_convenio-cientifica_04-mar-2025_intereses_spark-ads,Impression,2025-04-01,PE_SMB_IMS_SISE,2.20,9922,11,9914,0,USD
sise_carreras_virtuales_aon_tiktok_social_conversion_conversiones_carreras_2025_abr_9,smart_todas-las-carreras_cpl,SISE_7338148585353088261-no-watermark_kx8r2679.mp4,Conversion,2025-04-11,PE_SMB_IMS_SISE,2.17,9211,7,7917,0,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_admi-empresas-m1_carreras___abr_9,Conversion,2025-04-14,PE_SMB_IMS_SISE,2.13,4143,55,3640,35,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,2.13,3107,6,3017,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-06,PE_SMB_IMS_SISE,2.10,3527,7,3228,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,2.07,2589,3,2406,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,2.05,3726,3,3544,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-03,PE_SMB_IMS_SISE,2.02,1614,4,1514,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-09,PE_SMB_IMS_SISE,1.99,1149,2,1123,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,1.99,3879,12,3680,0,USD
